Column1,Column2,Column3
GSE9476,GSE48558,GSE63270
LGALS1,FLT3,ALOX5
FLT3,MPO,CRIP1
CFD,ATP8B4,HCK
HOXA10-HOXA9 /// HOXA9 /// MIR196B,KIT,RHOB
AZU1,ECRP,MARCHF1
CCNA1,KIAA0101,TYROBP
HOMER3,CD36,CCL5
CRIP1,RNASE2,GADD45B
LMNA,GUCY1A3,VCAN
FUT4,MAMDC2,MAMDC2
LOC100506403 /// LOC101928269 /// RUNX1,NPR3,NA
CLEC11A,MEIS1,LGALS3
SMYD3,TFPI,CCL5
CLEC11A,DEPTOR,CX3CR1
HOMER3,,H3C4///H2AC7
TARP /// TRGC2 /// TRGV9,F13A1,CCR1
FAM46A,NPR3,VMP1///MIR21
RGCC,TYMS,FCGR1BP
CTSG,DTL,GAS7
TARP /// TRGC2 /// TRGV9,MYB,NCF2
HOXA10-HOXA9 /// HOXA9 /// MIR196B,EMP1,S100A10
CD44,FADS2,MXRA7
CDC42,IL18,FCN1
HIST2H2BE,ERG,CD96
HOXA10,CD34,GAS7
LMNA,MGST1,MARCHF1
TARP /// TRGC2 /// TRGV9,CPA3,S100A8
PBX3,PROM1,CD9
TARP /// TRGC2 /// TRGV9,GNA15,OLIG1
STAB1,CPXM1,SERPINA1
RYBP,TOP2A,KYNU
HOPX,TPX2,VCAN
CD24,VCAN,MS4A7
MMD,AKR1C3,IFI30
8-Mar,ATP1B1,ADRB1
LOC101928620 /// POU2AF1,NCAPG,MS4A6A
CDKN1B,SLC27A2,CCNA1
TPM1,PRC1,GADD45B
BTN3A2 /// BTN3A3,IGF2BP2,LGALS1
MME,CYBRD1,VNN1
MMP9,B4GALT6,S100A9
GPR56,GPR125,NEAT1
FFAR2,ANGPT1,C3AR1
CD24,CTSG,ANXA2
XK,SCCPDH,TRG-AS1
BTN3A2,SCHIP1,FCGR1A///FCGR1CP
PLCL2,TFEC,MS4A6A
IFITM1,HBG2,ANXA2
TCRDV2 /// TRDC /// TRDC /// YME1L1,LYZ,CXCL8
BTG2,SLC4A1,WT1
LPIN2,IRAK3,LINC00537
GZMB,THBS1,LY86
PRKD3,CDK6,MS4A6A
IL18RAP,MMRN1,ANXA2
TDP2,STMN1,HOMER3
REXO2,NREP,NEAT1
TRBC1,GCSAML,MS4A6A
MYC,ARHGAP11A,RNA45SN5
SERPINE2,MSRB3,NEAT1
LBH,HIST1H1B,FCER1G
TRDV3,CHEK1,KLF2
IGHM,S100Z,LGALS2
ATXN1,,CFP
NFE2,EREG,IER3
IGF1R,LPCAT2,NA
CPVL,CCNB1,TRBV27
ZFP36L1,GOLGA8O,AHNAK
TRANK1,ST8SIA6,NABP1
CD59,B3GNT5,SAMHD1
MS4A1,ANLN,CCL3///CCL3L1///CCL3L3
CYFIP2,CCDC88A,PTPN14
IL7R,SCML2,CFD
LOC100129518 /// SOD2,KIF11,ADRB2
IRF2,CCNB2,LPXN
LTB,GOLIM4,RAB31
PLXNC1,PLA2G4A,NABP1
TGFBR2,,TLR2
PBX1,MACC1,PTX3
MEGF9,FADS1,SAMHD1
GP1BB /// SEPT5 /// SEPT5-GP1BB,,LPAR6
PRKCH,KIF23,UBE2E2
TSPYL5,PYGL,MYOF
TRBC1,CPVL,DUSP6
FAM65B,CLEC12A,IL13RA1
PDE4B,HIST1H3B,H2AC17///H3C12
SORL1,CENPF,NRXN2
ISG20,BUB1B,FGL2
NAMPT,NLRP3,MS4A6A
SLC25A37,ANKRD50,TNFRSF1B
MS4A1,PLXNB2,ADGRE5
AHSP,IL1B,RAB31
FPR2,PIWIL4,CASP1
FAIM3,,EVI2A
LOC100129518 /// SOD2,RNASE3,TPPP3
RGS2,DAPK1,LOC100996756
IGLL1,TFRC,FGR
SDPR,,TARP///TRGC1///TRGC2///TRGV9
IVNS1ABP,MKI67,ITGAX
CCR7,CA2,RASSF4
RASGRP1,CD33,CD99
FAM117A,SHCBP1,NA
PCDH9,,AQP3
ITK,HBB,CCR1
IGHM,WDR49,CD44
MYH10,FAM198B,TRGV9///TRGC1///TRGC2///TARP
CRHBP,HOXA9,IL10RA
TRIB2,PDGFC,PRF1
TAL1,,MAFB
MINPP1,FABP5,TARP///TRGC1///TRGC2///TRGV9
GCA,,CTSH
PF4,CALCRL,NA
SERPINB9,NUF2,H2BC5
SORL1,FANCI,CDKN1A
TGFBI,CDC6,TIGAR
SELL,KCTD3,TRGC2///TRGC1///TRGV9///TARP
BASP1,SLC22A16,ANXA1
F2RL1,GPR125,UBASH3B
PPBP,C3AR1,GADD45B
CYP4F3,C1orf186,ADGRE2
ISG20,TEC,KCNE3
C5AR1,RAD51AP1,PTH2R
FCGR3B,,H2AC6
PLBD1,MLC1,ID2///ID2B
LOC100129518 /// SOD2,MCM4,CYTH4
PTGS2,CYTL1,PTPRC
EREG,BTBD3,ITGAM
KLF1,HIST1H2AI,FYB1
FCER1A,MIR221,AATBC
ABLIM1,DUSP6,NA
CSF2RB,AZU1,S100A11
LEF1,TMEM144,NA
QPCT,RAB13,DOK2
G0S2,LOC81691,RAB31
TRBC1,PLD1,H2BC5
HBD,PRSS57,NA
PRDX2,PNP,SH3BGRL3
CA1,ITGA9,UPP1
CLC,,CD180
PLXNC1,NME1,NKG7
HBA1 /// HBA2,MCTP1,VSIR
ALDH1A1,RNU5D-1,FYB1
HBA1 /// HBA2,RNU6-522P,HSPA1B///HSPA1A
HBA1 /// HBA2,NET1,CD86
HBA1 /// HBA2,ERLIN1,H2BC12
HBA1 /// HBA2,CENPU,MIR22HG
HBA1 /// HBA2,IGJ,CLEC12A
HBB,,PTP4A3
HBB,PRKAR2B,CLECL1P
HBB,EXO1,UBASH3B
,PTX3,H2AC18///H2AC19
,MYOF,DUSP6
,BCAT1,CD36
,GOLGA8O,H2BC4
,HOXA5,HCST
,SERPINB2,MAP3K5-AS2
,IL3RA,CD93
,CLU,IL1RAP
,RN7SL368P,SGMS2
,HBD,RHBDF2
,,H2BC12L///H2BC12///LOC102724334
,ETS2,SAT1
,HIST2H3A,CBL
,KPNA2,TPP1
,CCNA2,GLIPR1
,SGMS2,H2BC21
,MGST2,HMOX1
,CIT,MYO1G
,FAM72B,TLR8
,KIF4A,ANXA2P2
,DUSP10,MNDA
,MS4A3,GAS7
,RCN1,KLF2
,PLK4,TMEM71
,,TPPP
,CDCA7,LITAF
,CD163,IGSF6
,CD109,FAS
,HGF,JUNB
,SPRY2,NA
,SOX4,DUSP6
,TM4SF1,MALAT1
,ELANE,H2AC18///H2AC19
,STAB1,NCALD///H2BC8
,RRM2,CD36
,CXCL8,GIMAP6
,CCNE2,GIMAP6
,NUCB2,DMXL2
,WEE1,RRN3P2
,,FGL2
,CENPI,LFNG
,HBA2,SAMHD1
,SMC2,ADAP2
,BUB1,CYRIA
,PCNA,ZFP36
,RHOBTB3,CDKN1C
,PLTP,DHRS9
,HELLS,HAVCR2
